datum;Januar 2024;Februar 2024;März 2024;April 2024;Mai 2024;Juni 2024;Juli 2024;August 2024;September 2024;Oktober 2024;November 2024;Dezember 2024;jahr;diff;Januar 2025;Februar 2025;März 2025;April 2025
brutto;8100,00;8100,00;8100,00;8100,00;8100,00;157950,00;0,00;0,00;0,00;0,00;0,00;0,00;198450,00;0,00;0,00;0,00;0,00;0,00
brutto_grund;8100,00;8100,00;8100,00;8100,00;8100,00;8100,00;0,00;0,00;0,00;0,00;0,00;0,00;48600,00;0,00;0,00;0,00;0,00;0,00
brutto_abfindung;0,00;0,00;0,00;0,00;0,00;149850,00;0,00;0,00;0,00;0,00;0,00;0,00;149850,00;0,00;0,00;0,00;0,00;0,00
abfindung_grund;0,00;0,00;0,00;0,00;0,00;81000,00;0,00;0,00;0,00;0,00;0,00;0,00; ; ;0,00;0,00;0,00;0,00
abfindung_turbo;0,00;0,00;0,00;0,00;0,00;24300,00;0,00;0,00;0,00;0,00;0,00;0,00; ; ;0,00;0,00;0,00;0,00
abfindung_abkauf;0,00;0,00;0,00;0,00;0,00;44550,00;0,00;0,00;0,00;0,00;0,00;0,00; ; ;0,00;0,00;0,00;0,00
netto;4061,08;4061,08;4061,08;4061,08;4061,08;80164,83;0,00;0,00;0,00;0,00;0,00;0,00;110759,14;10288,88;0,00;0,00;0,00;0,00
netto_grund;4061,08;4061,08;4061,08;4061,08;4061,08;4061,08;0,00;0,00;0,00;0,00;0,00;0,00;29545,09;5178,59;0,00;0,00;0,00;0,00
netto_abfindung;0,00;0,00;0,00;0,00;0,00;76103,75;0,00;0,00;0,00;0,00;0,00;0,00;81214,04;5110,29;0,00;0,00;0,00;0,00
lohnsteuer;2518,49;2518,49;2518,49;2518,49;2518,49;69499,43;0,00;0,00;0,00;0,00;0,00;0,00;72746,87;-9345,00;0,00;0,00;0,00;0,00
kirchensteur;201,73;201,73;201,73;201,73;201,73;5566,90;0,00;0,00;0,00;0,00;0,00;0,00;5827,02;-748,53;0,00;0,00;0,00;0,00
soli;52,65;52,65;52,65;52,65;52,65;1452,78;0,00;0,00;0,00;0,00;0,00;0,00;1520,67;-195,34;0,00;0,00;0,00;0,00
rentenversicherung;702,15;702,15;702,15;702,15;702,15;702,15;0,00;0,00;0,00;0,00;0,00;0,00;4212,90;0,00;0,00;0,00;0,00;0,00
sozialversicherung;98,15;98,15;98,15;98,15;98,15;98,15;0,00;0,00;0,00;0,00;0,00;0,00;588,90;0,00;0,00;0,00;0,00;0,00
krankenversicherung;377,77;377,77;377,77;377,77;377,77;377,77;0,00;0,00;0,00;0,00;0,00;0,00;2266,65;0,00;0,00;0,00;0,00;0,00
pflegeversicherung;87,98;87,98;87,98;87,98;87,98;87,98;0,00;0,00;0,00;0,00;0,00;0,00;527,85;0,00;0,00;0,00;0,00;0,00
Abgaben;4038,92;4038,92;4038,92;4038,92;4038,92;77785,17;0,00;0,00;0,00;0,00;0,00;0,00;87690,86;-10288,88;0,00;0,00;0,00;0,00
Abgaben_grund;4038,92;4038,92;4038,92;4038,92;4038,92;4038,92;0,00;0,00;0,00;0,00;0,00;0,00;19054,91;-5178,59;0,00;0,00;0,00;0,00
Abgaben_abfindung;0,00;0,00;0,00;0,00;0,00;73746,25;0,00;0,00;0,00;0,00;0,00;0,00;68635,96;-5110,29;0,00;0,00;0,00;0,00
